1746052371.48998 - {'icao24': 'aa3f2e', 'callsign': 'FLC76   ', 'origin_country': 'United States', 'time_position': 1746052363, 'last_contact': 1746052363, 'longitude': -117.1519, 'latitude': 32.665, 'baro_altitude': 403.86, 'on_ground': False, 'velocity': 72.07, 'heading': 304.82, 'vertical_rate': -6.18, 'sensors': None, 'geo_altitude': 373.38, 'squawk': '4757', 'spi': False, 'position_source': 0}
1746052371.490162 - {'icao24': 'a81289', 'callsign': 'N6190D  ', 'origin_country': 'United States', 'time_position': 1746052264, 'last_contact': 1746052264, 'longitude': -117.0501, 'latitude': 32.7867, 'baro_altitude': 807.72, 'on_ground': False, 'velocity': 46.34, 'heading': 292.86, 'vertical_rate': -2.6, 'sensors': None, 'geo_altitude': 784.86, 'squawk': None, 'spi': False, 'position_source': 0}
1746052371.4902349 - {'icao24': 'ac27cf', 'callsign': 'SWA1356 ', 'origin_country': 'United States', 'time_position': 1746052252, 'last_contact': 1746052252, 'longitude': -117.0209, 'latitude': 32.7014, 'baro_altitude': 922.02, 'on_ground': False, 'velocity': 88.96, 'heading': 256.29, 'vertical_rate': -5.2, 'sensors': None, 'geo_altitude': 922.02, 'squawk': '7344', 'spi': False, 'position_source': 0}
1746052371.4902961 - {'icao24': 'a92384', 'callsign': 'UAL2029 ', 'origin_country': 'United States', 'time_position': 1746052252, 'last_contact': 1746052252, 'longitude': -117.1203, 'latitude': 32.7166, 'baro_altitude': 365.76, 'on_ground': False, 'velocity': 78.3, 'heading': 286.41, 'vertical_rate': -4.55, 'sensors': None, 'geo_altitude': 373.38, 'squawk': '5633', 'spi': False, 'position_source': 0}
1746052371.490355 - {'icao24': 'a11ad4', 'callsign': 'SKW3320 ', 'origin_country': 'United States', 'time_position': 1746052264, 'last_contact': 1746052264, 'longitude': -117.0955, 'latitude': 32.7107, 'baro_altitude': 510.54, 'on_ground': False, 'velocity': 73.28, 'heading': 285.89, 'vertical_rate': -4.55, 'sensors': None, 'geo_altitude': 495.3, 'squawk': '2510', 'spi': False, 'position_source': 0}
1746052376.978604 - {'icao24': '3c6718', 'callsign': 'DLH5Y   ', 'origin_country': 'Germany', 'time_position': 1746052199, 'last_contact': 1746052225, 'longitude': -117.1243, 'latitude': 32.7178, 'baro_altitude': 335.28, 'on_ground': False, 'velocity': 65.02, 'heading': 285.14, 'vertical_rate': -3.9, 'sensors': None, 'geo_altitude': 320.04, 'squawk': '3302', 'spi': False, 'position_source': 0}
1746052376.979084 - {'icao24': 'a0ec4d', 'callsign': 'JAS3    ', 'origin_country': 'United States', 'time_position': 1746052146, 'last_contact': 1746052150, 'longitude': -117.1237, 'latitude': 32.7176, 'baro_altitude': 335.28, 'on_ground': False, 'velocity': 60.56, 'heading': 286.28, 'vertical_rate': -3.9, 'sensors': None, 'geo_altitude': 312.42, 'squawk': '1536', 'spi': False, 'position_source': 0}
1746052376.9791622 - {'icao24': 'a4bd24', 'callsign': 'SKW3383 ', 'origin_country': 'United States', 'time_position': 1746052372, 'last_contact': 1746052373, 'longitude': -117.0729, 'latitude': 32.7853, 'baro_altitude': 1844.04, 'on_ground': False, 'velocity': 123.88, 'heading': 126.73, 'vertical_rate': -4.55, 'sensors': None, 'geo_altitude': 1874.52, 'squawk': '4763', 'spi': False, 'position_source': 0}
1746052376.9792378 - {'icao24': 'aa3f2e', 'callsign': 'FLC76   ', 'origin_country': 'United States', 'time_position': 1746052372, 'last_contact': 1746052373, 'longitude': -117.1579, 'latitude': 32.6684, 'baro_altitude': 335.28, 'on_ground': False, 'velocity': 69.21, 'heading': 302.86, 'vertical_rate': -7.15, 'sensors': None, 'geo_altitude': 304.8, 'squawk': '4757', 'spi': False, 'position_source': 0}
1746052376.979466 - {'icao24': 'a81289', 'callsign': 'N6190D  ', 'origin_country': 'United States', 'time_position': 1746052264, 'last_contact': 1746052264, 'longitude': -117.0501, 'latitude': 32.7867, 'baro_altitude': 807.72, 'on_ground': False, 'velocity': 46.34, 'heading': 292.86, 'vertical_rate': -2.6, 'sensors': None, 'geo_altitude': 784.86, 'squawk': None, 'spi': False, 'position_source': 0}
